country_name,who_region,year,vaccine_description,schedule_rounds,target_pop_description,geo_area,age_administered
Afghanistan,EMRO,2023,BCG,1,General/routine,NATIONAL,B
Angola,AFRO,2023,BCG,1,General/routine,NATIONAL,B
Anguilla,AMRO,2023,BCG,1,General/routine,NATIONAL,B
Albania,EURO,2023,BCG,1,General/routine,NATIONAL,B
Andorra,EURO,2023,Meningococcal B vaccine,1,General/routine,NATIONAL,M2
Andorra,EURO,2023,Meningococcal B vaccine,2,General/routine,NATIONAL,M4
Andorra,EURO,2023,Meningococcal B vaccine,3,General/routine,NATIONAL,M13
United Arab Emirates,EMRO,2023,BCG,1,General/routine,NATIONAL,B
United Arab Emirates,EMRO,2023,Typhoid conjugate vaccine,1,Risk group(s),NATIONAL,
United Arab Emirates,EMRO,2023,Typhoid conjugate vaccine,1,Travellers,NATIONAL,
Argentina,AMRO,2023,BCG,1,General/routine,NATIONAL,B
Armenia,EURO,2023,BCG,1,General/routine,NATIONAL,B
Australia,WPRO,2023,Meningococcal B vaccine,1,Risk group(s),SUBNATIONAL,M2
Australia,WPRO,2023,Meningococcal B vaccine,2,Risk group(s),SUBNATIONAL,M4
Australia,WPRO,2023,Meningococcal B vaccine,3,Risk group(s),SUBNATIONAL,M6
Australia,WPRO,2023,Meningococcal B vaccine,4,Risk group(s),SUBNATIONAL,M12
Azerbaijan,EURO,2023,BCG,1,General/routine,NATIONAL,B
Burundi,AFRO,2023,BCG,1,General/routine,NATIONAL,B
Benin,AFRO,2023,BCG,1,General/routine,NATIONAL,B
Benin,AFRO,2023,Meningococcal A conjugate vaccine,1,General/routine,NATIONAL,M9
Burkina Faso,AFRO,2023,BCG,1,General/routine,NATIONAL,B
Burkina Faso,AFRO,2023,Meningococcal A conjugate vaccine,1,General/routine,NATIONAL,M15
Bangladesh,SEARO,2023,BCG,1,General/routine,NATIONAL,B
Bulgaria,EURO,2023,BCG,1,General/routine,NATIONAL,B
Bulgaria,EURO,2023,BCG,2,General/routine,NATIONAL,M7
Bulgaria,EURO,2023,BCG,3,General/routine,NATIONAL,Y7
Bahrain,EMRO,2023,BCG,1,Risk group(s),NATIONAL,B
Bosnia and Herzegovina,EURO,2023,BCG,1,General/routine,NATIONAL,B
Belarus,EURO,2023,BCG,1,General/routine,NATIONAL,D3-D5
Belize,AMRO,2023,BCG,1,General/routine,NATIONAL,B
Bermuda,AMRO,2023,BCG,1,Risk group(s),NATIONAL,1st contact
Bermuda,AMRO,2023,Typhoid conjugate vaccine,1,Travellers,NATIONAL,1st contact
Bermuda,AMRO,2023,Typhoid conjugate vaccine,2,Travellers,NATIONAL,+Y3
